id,reference_len,query_len,regions,contigs,matches,mismatches,deletions,query_coverage,identity
295775at33208,365,333,5,6,152,181,32,91.23,45.65
315044at33208,500,314,1,1,234,80,186,62.8,74.52
363840at33208,699,393,1,1,158,235,306,56.22,40.2
395556at33208,330,221,1,1,108,113,109,66.97,48.87
623138at33208,135,131,1,1,73,58,4,97.04,55.73
440493at33208,288,71,1,1,34,37,217,24.65,47.89
111730at33208,799,702,1,1,393,309,97,87.86,55.98
603370at33208,169,134,1,3,88,46,35,79.29,65.67
649979at33208,124,122,1,1,61,61,2,98.39,50.0
556189at33208,250,98,1,1,42,56,152,39.2,42.86
354949at33208,277,82,1,1,44,38,195,29.6,53.66
541231at33208,149,85,1,1,46,39,64,57.05,54.12
196950at33208,493,128,3,3,61,67,365,25.96,47.66
281693at33208,824,655,6,6,274,380,170,79.37,41.9
111746at33208,605,182,4,3,82,100,423,30.08,45.05
465933at33208,345,311,2,3,131,180,34,90.14,42.12
582341at33208,141,127,2,3,100,27,14,90.07,78.74
555162at33208,154,154,2,2,132,22,0,100.0,85.71
636041at33208,95,36,1,1,24,12,59,37.89,66.67
590416at33208,204,147,2,2,54,93,57,72.06,36.73
518635at33208,525,179,1,1,77,102,346,34.1,43.02
372257at33208,294,244,6,6,108,136,50,82.99,44.26
474387at33208,391,338,1,1,153,185,53,86.45,45.27
480735at33208,327,264,1,1,131,133,63,80.73,49.62
502691at33208,244,155,2,3,104,51,89,63.52,67.1
556510at33208,194,137,1,1,68,69,57,70.62,49.64
509494at33208,172,100,1,1,61,39,72,58.14,61.0
631767at33208,103,101,1,1,51,50,2,98.06,50.5
611279at33208,208,52,1,1,33,19,156,25.0,63.46
450643at33208,231,70,1,1,38,32,161,30.3,54.29
162821at33208,775,703,1,1,339,364,72,90.71,48.22
527406at33208,178,64,1,1,56,8,114,35.96,87.5
325183at33208,407,403,2,3,241,162,4,99.02,59.8
445034at33208,378,240,4,5,124,116,138,63.49,51.67
348544at33208,344,284,1,1,176,108,60,82.56,61.97
547766at33208,269,93,1,1,68,25,176,34.57,73.12
339127at33208,377,189,1,1,89,100,188,50.13,47.09
582823at33208,215,176,1,1,109,67,39,81.86,61.93
615531at33208,79,79,1,1,45,34,0,100.0,56.96
465651at33208,140,140,1,1,59,81,0,100.0,42.14
608074at33208,191,56,1,1,37,19,135,29.32,66.07
631798at33208,126,61,1,1,25,36,65,48.41,40.98
444231at33208,204,140,1,2,64,76,64,68.63,45.71
458807at33208,311,299,1,2,166,133,12,96.14,55.52
131848at33208,798,415,1,1,181,234,383,52.01,43.61
208219at33208,382,222,1,1,110,112,160,58.12,49.55
386666at33208,472,264,1,1,115,149,208,55.93,43.56
395147at33208,431,70,2,3,36,34,361,16.24,51.43
620753at33208,152,93,1,1,52,41,59,61.18,55.91
422751at33208,414,391,4,6,217,174,23,94.44,55.5
500808at33208,344,291,1,1,140,151,53,84.59,48.11
581621at33208,172,165,1,1,105,60,7,95.93,63.64
575360at33208,136,110,1,1,55,55,26,80.88,50.0
577339at33208,113,113,1,1,58,55,0,100.0,51.33
338482at33208,389,167,1,1,78,89,222,42.93,46.71
389527at33208,675,402,1,1,240,162,273,59.56,59.7
545889at33208,180,168,1,1,84,83,13,92.78,50.3
281304at33208,570,317,1,1,143,174,253,55.61,45.11
465401at33208,266,151,1,1,68,83,115,56.77,45.03
257141at33208,520,384,1,1,188,196,136,73.85,48.96
409186at33208,475,133,1,1,84,49,342,28.0,63.16
436539at33208,207,190,3,2,92,98,17,91.79,48.42
304388at33208,492,322,1,1,157,165,170,65.45,48.76
464204at33208,234,94,1,1,65,29,140,40.17,69.15
444160at33208,246,98,1,1,67,31,148,39.84,68.37
557962at33208,276,241,1,1,131,110,35,87.32,54.36
616149at33208,116,113,1,1,61,52,3,97.41,53.98
640349at33208,102,102,1,1,68,34,0,100.0,66.67
285146at33208,363,163,1,1,72,91,200,44.9,44.17
566026at33208,183,86,1,1,53,33,97,46.99,61.63
457777at33208,381,314,1,1,221,93,67,82.41,70.38
135294at33208,738,124,1,1,77,47,614,16.8,62.1
631662at33208,99,43,1,1,33,10,56,43.43,76.74
129179at33208,748,702,1,2,429,273,46,93.85,61.11
560453at33208,169,111,1,1,88,23,58,65.68,79.28
223234at33208,380,172,1,1,86,86,208,45.26,50.0
438433at33208,232,204,5,4,103,101,28,87.93,50.49
631196at33208,167,71,1,1,40,31,96,42.51,56.34
9639at33208,2128,2012,1,4,1031,977,120,94.36,51.34
557834at33208,677,131,1,1,51,80,546,19.35,38.93
66018at33208,1139,845,4,4,397,448,294,74.19,46.98
13816at33208,2810,2152,1,1,1006,1146,658,76.58,46.75
191938at33208,599,102,1,1,45,57,497,17.03,44.12
435939at33208,243,242,8,13,123,119,1,99.59,50.83
268397at33208,796,700,1,1,352,348,96,87.94,50.29
206786at33208,376,273,1,2,195,78,103,72.61,71.43
365561at33208,420,346,3,4,236,110,74,82.38,68.21
522886at33208,326,242,1,1,138,104,84,74.23,57.02
180808at33208,605,560,7,12,387,173,45,92.56,69.11
534808at33208,249,197,6,5,101,96,52,79.12,51.27
268134at33208,393,391,1,5,153,238,2,99.49,39.13
427349at33208,322,287,4,6,193,94,35,89.13,67.25
267439at33208,512,483,1,2,327,156,29,94.34,67.7
453687at33208,327,300,3,2,144,156,27,91.74,48.0
534206at33208,211,131,1,1,80,51,80,62.09,61.07
598405at33208,128,62,1,1,44,18,66,48.44,70.97
585656at33208,177,137,1,1,102,35,40,77.4,74.45
344581at33208,305,251,3,2,130,121,54,82.3,51.79
353286at33208,448,172,1,1,94,76,278,37.95,55.29
356175at33208,349,90,1,1,42,48,259,25.79,46.67
564286at33208,194,138,1,6,94,44,56,71.13,68.12
469367at33208,363,339,1,1,167,170,26,92.84,49.55
452499at33208,356,47,1,1,30,17,309,13.2,63.83
190726at33208,509,214,1,1,139,75,295,42.04,64.95
535268at33208,219,151,3,5,104,47,68,68.95,68.87
470523at33208,255,238,1,4,122,116,17,93.33,51.26
519777at33208,199,150,1,1,100,50,49,75.38,66.67
108764at33208,504,102,1,2,49,53,402,20.24,48.04
561417at33208,150,133,1,1,109,24,17,88.67,81.95
169864at33208,437,105,1,1,49,56,332,24.03,46.67
475826at33208,253,178,1,2,87,91,75,70.36,48.88
88053at33208,562,437,1,1,159,278,125,77.76,36.38
535664at33208,134,102,1,1,55,47,32,76.12,53.92
592094at33208,186,170,1,2,88,82,16,91.4,51.76
553585at33208,221,158,1,1,73,85,63,71.49,46.2
451242at33208,240,156,1,1,59,97,84,65.0,37.82
643883at33208,107,96,1,1,49,47,11,89.72,51.04
554815at33208,214,93,1,1,53,40,121,43.46,56.99
548327at33208,185,182,2,2,116,66,3,98.38,63.74
523534at33208,166,131,1,1,102,29,35,78.92,77.86
429011at33208,216,158,1,1,78,80,58,73.15,49.37
164767at33208,869,696,1,1,315,381,173,80.09,45.26
495389at33208,216,204,1,1,94,110,12,94.44,46.08
539234at33208,153,153,1,1,112,41,0,100.0,73.2
504691at33208,162,159,1,1,87,72,3,98.15,54.72
622172at33208,171,159,1,1,87,72,12,92.98,54.72
569878at33208,217,90,3,3,73,17,127,41.47,81.11
558933at33208,213,120,1,1,65,55,93,56.34,54.17
442203at33208,477,329,1,1,178,151,148,68.97,54.1
607862at33208,119,96,1,1,72,24,23,80.67,75.0
556587at33208,132,94,1,1,41,53,38,71.21,43.62
566262at33208,140,74,1,1,43,31,66,52.86,58.11
599320at33208,107,106,1,1,83,23,1,99.07,78.3
539600at33208,157,91,1,1,72,19,66,57.96,79.12
556039at33208,137,128,1,1,70,58,9,93.43,54.69
387079at33208,374,131,1,1,70,61,243,35.03,53.44
592872at33208,171,100,1,1,61,39,71,58.48,61.0
606748at33208,102,77,1,1,55,22,25,75.49,71.43
443305at33208,498,128,1,1,67,61,370,25.7,52.34
561688at33208,199,196,2,3,89,107,3,98.49,45.41
442169at33208,286,114,1,1,45,69,172,39.86,39.47
247183at33208,711,631,1,1,388,234,89,87.48,62.38
182834at33208,730,512,1,1,180,332,218,70.14,35.16
628247at33208,118,54,1,1,40,14,64,45.76,74.07
535806at33208,173,119,2,2,71,48,54,68.79,59.66
401220at33208,332,248,1,1,108,140,84,74.7,43.55
397659at33208,294,72,1,1,44,28,222,24.49,61.11
644034at33208,65,58,1,1,41,17,7,89.23,70.69
279992at33208,339,137,1,1,76,61,202,40.41,55.47
382000at33208,306,190,1,1,106,84,116,62.09,55.79
143619at33208,441,87,1,1,55,32,354,19.73,63.22
99614at33208,1111,718,1,1,310,408,393,64.63,43.18
227453at33208,363,140,1,1,66,74,223,38.57,47.14
436007at33208,536,410,7,9,186,224,126,76.49,45.37
622156at33208,179,134,1,1,81,53,45,74.86,60.45
331112at33208,664,538,1,3,250,288,126,81.02,46.47
462897at33208,359,342,1,4,175,167,17,95.26,51.17
606795at33208,117,79,1,1,50,29,38,67.52,63.29
590221at33208,132,123,2,2,64,59,9,93.18,52.03
580851at33208,122,66,1,1,32,34,56,54.1,48.48
534172at33208,225,111,4,3,51,60,114,49.33,45.95
608011at33208,96,96,1,1,87,9,0,100.0,90.62
462325at33208,394,84,1,1,37,47,310,21.32,44.05
235458at33208,403,360,1,1,167,193,43,89.33,46.39
584023at33208,246,242,1,1,132,110,4,98.37,54.55
535650at33208,202,200,2,2,151,49,2,99.01,75.5
552201at33208,167,97,1,2,84,13,70,58.08,86.6
301572at33208,471,392,1,1,274,118,79,83.23,69.9
219795at33208,543,296,1,1,122,174,247,54.51,41.22
443518at33208,253,140,2,2,86,54,113,55.34,61.43
511386at33208,525,423,1,1,182,241,102,80.57,43.03
345099at33208,718,526,1,1,230,296,192,73.26,43.73
359075at33208,357,341,1,1,181,160,16,95.52,53.08
520011at33208,258,121,1,1,78,43,137,46.9,64.46
317470at33208,247,211,2,2,97,114,36,85.43,45.97
280914at33208,354,154,1,1,58,96,200,43.5,37.66
360753at33208,338,113,2,2,62,51,225,33.43,54.87
587513at33208,281,101,1,1,52,49,180,35.94,51.49
255117at33208,825,735,6,5,282,452,91,88.97,38.42
424392at33208,246,208,2,2,121,87,38,84.55,58.17
617020at33208,177,169,1,1,76,93,8,95.48,44.97
558897at33208,167,122,1,2,57,65,45,73.05,46.72
631811at33208,145,79,1,1,48,31,66,54.48,60.76
143997at33208,478,296,1,1,148,148,182,61.92,50.0
517968at33208,126,75,1,1,50,25,51,59.52,66.67
130245at33208,774,723,1,2,388,335,51,93.41,53.67
622270at33208,93,93,2,2,69,24,0,100.0,74.19
146671at33208,544,288,1,1,170,118,256,52.94,59.03
449139at33208,393,317,1,1,172,145,76,80.66,54.26
192250at33208,633,546,1,1,266,279,88,86.1,48.81
414001at33208,310,194,1,1,136,58,116,62.58,70.1
99987at33208,934,254,1,1,108,146,680,27.19,42.52
515058at33208,397,301,1,1,156,145,96,75.82,51.83
474144at33208,232,217,1,1,109,108,15,93.53,50.23
544849at33208,144,36,1,1,29,7,108,25.0,80.56
382750at33208,513,476,1,2,227,249,37,92.79,47.69
338191at33208,556,455,1,3,274,181,101,81.83,60.22
389591at33208,288,102,1,1,55,47,186,35.42,53.92
352854at33208,444,268,1,1,147,120,177,60.14,55.06
532930at33208,211,209,1,1,103,106,2,99.05,49.28
452208at33208,262,202,1,1,98,104,60,77.1,48.51
630073at33208,83,74,1,1,62,12,9,89.16,83.78
632566at33208,172,120,1,1,56,64,52,69.77,46.67
454911at33208,755,653,1,1,303,350,102,86.49,46.4
563358at33208,175,172,1,2,104,68,3,98.29,60.47
168850at33208,615,385,2,3,199,186,230,62.6,51.69
601886at33208,313,236,1,1,112,124,77,75.4,47.46
207599at33208,470,377,2,2,156,221,93,80.21,41.38
596131at33208,116,92,1,1,59,33,24,79.31,64.13
437653at33208,208,197,1,3,125,72,11,94.71,63.45
249486at33208,499,349,1,1,182,167,150,69.94,52.15
261614at33208,633,268,1,1,149,119,365,42.34,55.6
606958at33208,106,51,1,1,37,14,55,48.11,72.55
493505at33208,213,160,1,1,80,80,53,75.12,50.0
569294at33208,173,94,1,1,51,43,79,54.34,54.26
495605at33208,255,101,1,1,69,32,154,39.61,68.32
92367at33208,297,280,1,1,127,153,17,94.28,45.36
231700at33208,965,221,1,1,82,139,744,22.9,37.1
453052at33208,366,74,1,1,44,30,292,20.22,59.46
467744at33208,361,312,1,1,199,113,49,86.43,63.78
618986at33208,109,37,1,1,31,6,72,33.94,83.78
581717at33208,247,35,1,1,20,15,212,14.17,57.14
519303at33208,375,101,1,1,55,46,274,26.93,54.46
602587at33208,80,54,1,1,36,18,26,67.5,66.67
522988at33208,535,479,1,1,222,257,56,89.53,46.35
432050at33208,315,189,1,1,120,69,126,60.0,63.49
582473at33208,196,184,1,1,115,69,12,93.88,62.5
134492at33208,891,383,2,2,194,189,508,42.99,50.65
537470at33208,153,147,1,1,119,28,6,96.08,80.95
514296at33208,185,121,1,1,75,46,64,65.41,61.98
572845at33208,183,180,1,2,110,70,3,98.36,61.11
560584at33208,235,153,1,1,87,66,82,65.11,56.86
601768at33208,260,256,2,4,122,134,4,98.46,47.66
285902at33208,513,487,1,1,229,258,26,94.93,47.02
404988at33208,459,435,1,1,169,266,24,94.77,38.85
566116at33208,226,149,1,1,92,57,77,65.93,61.74
453056at33208,454,364,1,1,153,211,90,80.18,42.03
446000at33208,223,161,1,1,90,71,62,72.2,55.9
623995at33208,77,77,1,1,60,17,0,100.0,77.92
602089at33208,114,69,1,1,51,18,45,60.53,73.91
557596at33208,226,109,1,1,83,26,117,48.23,76.15
451957at33208,351,253,1,1,143,110,98,72.08,56.52
405257at33208,453,363,1,1,181,182,90,80.13,49.86
562780at33208,221,213,1,1,98,115,8,96.38,46.01
449189at33208,535,326,1,1,205,121,209,60.93,62.88
491289at33208,295,172,2,2,115,57,123,58.31,66.86
608869at33208,123,122,1,1,73,49,1,99.19,59.84
119591at33208,1131,944,2,2,426,518,187,83.47,45.13
602148at33208,111,73,1,1,36,37,38,65.77,49.32
186707at33208,532,113,1,1,54,59,419,21.24,47.79
595010at33208,335,309,1,1,122,187,26,92.24,39.48
516321at33208,172,163,1,1,116,47,9,94.77,71.17
468710at33208,176,39,1,1,31,8,137,22.16,79.49
556337at33208,132,116,1,1,100,16,16,87.88,86.21
367493at33208,530,136,1,1,64,72,394,25.66,47.06
260752at33208,577,475,1,1,202,266,109,81.11,43.16
526487at33208,172,166,1,1,111,55,6,96.51,66.87
401196at33208,260,135,1,1,71,64,125,51.92,52.59
543124at33208,295,97,1,1,55,42,198,32.88,56.7
464987at33208,205,187,1,1,129,58,18,91.22,68.98
486993at33208,335,152,1,1,92,60,183,45.37,60.53
538442at33208,181,177,1,2,95,82,4,97.79,53.67
396237at33208,227,150,1,1,76,74,77,66.08,50.67
291505at33208,461,232,3,4,143,89,229,50.33,61.64
157109at33208,278,268,1,1,133,135,10,96.4,49.63
393895at33208,458,210,1,1,117,93,248,45.85,55.71
622560at33208,135,111,1,1,88,23,24,82.22,79.28
492033at33208,203,112,1,1,75,37,91,55.17,66.96
578959at33208,135,101,1,1,65,36,34,74.81,64.36
468631at33208,239,68,1,1,40,28,171,28.45,58.82
488635at33208,223,35,1,1,18,17,188,15.7,51.43
606048at33208,115,104,2,3,60,44,11,90.43,57.69
496219at33208,316,286,1,2,186,100,30,90.51,65.03
578734at33208,197,71,1,1,40,31,126,36.04,56.34
552359at33208,143,100,1,1,49,51,43,69.93,49.0
289928at33208,340,242,1,2,105,137,98,71.18,43.39
536251at33208,191,152,2,2,83,69,39,79.58,54.61
363634at33208,271,171,1,1,71,100,100,63.1,41.52
356334at33208,892,383,1,1,226,157,509,42.94,59.01
570717at33208,180,80,1,1,59,21,100,44.44,73.75
612760at33208,104,51,1,1,28,23,53,49.04,54.9
465512at33208,850,37,1,1,29,8,813,4.35,78.38
591498at33208,242,164,1,1,85,79,78,67.77,51.83
378913at33208,234,159,1,2,94,65,75,67.95,59.12
274992at33208,434,411,4,3,218,193,23,94.7,53.04
340558at33208,312,308,1,1,225,83,4,98.72,73.05
201397at33208,626,548,1,1,259,280,87,86.1,48.05
148067at33208,901,154,1,1,67,87,747,17.09,43.51
529093at33208,247,242,1,3,193,49,5,97.98,79.75
311438at33208,344,208,2,2,110,98,136,60.47,52.88
573313at33208,290,106,1,1,56,50,184,36.55,52.83
529092at33208,106,39,1,1,36,3,67,36.79,92.31
235149at33208,411,55,1,1,33,22,356,13.38,60.0
123923at33208,591,101,1,1,41,60,490,17.09,40.59
401779at33208,374,285,1,2,138,147,89,76.2,48.42
216257at33208,634,356,7,7,190,166,278,56.15,53.37
631107at33208,118,113,1,1,62,51,5,95.76,54.87
638541at33208,117,59,1,1,32,27,58,50.43,54.24
518569at33208,378,364,1,1,176,188,14,96.3,48.35
319574at33208,285,147,1,2,85,62,138,51.58,57.82
261284at33208,755,616,1,1,243,373,139,81.59,39.45
537923at33208,173,143,1,1,77,66,30,82.66,53.85
477939at33208,478,348,1,2,163,185,130,72.8,46.84
487987at33208,224,168,1,1,102,66,56,75.0,60.71
592759at33208,216,75,1,1,54,21,141,34.72,72.0
446031at33208,291,285,1,1,151,134,6,97.94,52.98
354829at33208,331,144,1,1,127,17,187,43.5,88.19
471608at33208,276,243,2,2,140,103,33,88.04,57.61
257339at33208,349,257,1,1,134,123,92,73.64,52.14
376982at33208,311,233,1,2,170,63,78,74.92,72.96
324249at33208,302,122,1,1,57,65,180,40.4,46.72
186208at33208,976,828,2,3,533,295,148,84.84,64.37
460518at33208,327,327,1,1,201,126,0,100.0,61.47
617441at33208,117,117,1,2,106,11,0,100.0,90.6
551166at33208,142,98,2,2,90,8,44,69.01,91.84
346541at33208,738,125,1,1,72,53,613,16.94,57.6
439736at33208,367,303,1,2,138,165,64,82.56,45.54
371297at33208,355,336,5,3,160,176,19,94.65,47.62
570262at33208,236,192,2,2,101,91,44,81.36,52.6
5951at33208,2395,2169,1,2,1926,243,226,90.56,88.8
628082at33208,67,67,1,1,47,20,0,100.0,70.15
348449at33208,188,126,2,2,76,50,62,67.02,60.32
333800at33208,660,285,1,1,118,167,375,43.18,41.4
609899at33208,143,54,1,1,39,15,89,37.76,72.22
619415at33208,169,163,1,1,58,105,6,96.45,35.58
411755at33208,320,315,1,1,195,120,5,98.44,61.9
495100at33208,320,304,1,5,151,153,16,95.0,49.67
434863at33208,327,257,1,1,124,133,70,78.59,48.25
378768at33208,292,138,2,2,50,88,154,47.26,36.23
545744at33208,96,63,1,1,33,30,33,65.62,52.38
490248at33208,149,149,1,2,98,51,0,100.0,65.77
478984at33208,327,295,1,2,165,130,32,90.21,55.93
548732at33208,173,80,1,1,41,39,93,46.24,51.25
65302at33208,1170,571,2,2,221,350,599,48.8,38.7
427789at33208,448,438,1,1,232,206,10,97.77,52.97
473106at33208,344,276,1,1,129,147,68,80.23,46.74
477052at33208,288,278,1,1,167,111,10,96.53,60.07
347600at33208,449,227,1,1,113,114,222,50.56,49.78
559883at33208,181,151,1,1,80,71,30,83.43,52.98
563679at33208,106,87,3,2,35,52,19,82.08,40.23
634446at33208,90,89,1,2,74,15,1,98.89,83.15
466616at33208,427,202,1,1,85,117,225,47.31,42.08
539215at33208,232,147,1,2,74,73,85,63.36,50.34
483489at33208,363,343,1,1,124,219,20,94.49,36.15
539360at33208,220,159,1,1,86,73,61,72.27,54.09
406927at33208,121,75,1,1,38,37,46,61.98,50.67
184508at33208,555,383,2,2,245,138,172,69.01,63.97
563426at33208,248,198,1,2,115,83,50,79.84,58.08
364383at33208,389,377,2,2,167,210,12,96.92,44.3
619326at33208,115,109,1,1,88,21,6,94.78,80.73
581475at33208,165,157,1,1,53,104,8,95.15,33.76
498535at33208,283,234,1,1,138,96,49,82.69,58.97
514834at33208,300,154,1,1,71,83,146,51.33,46.1
49474at33208,1392,1292,1,2,707,585,100,92.82,54.72
556445at33208,144,134,1,1,77,57,10,93.06,57.46
464286at33208,428,307,1,1,146,161,121,71.73,47.56
429274at33208,277,97,1,1,44,53,180,35.02,45.36
395919at33208,285,184,1,1,92,92,101,64.56,50.0
502407at33208,231,152,1,1,89,63,79,65.8,58.55
433606at33208,246,240,2,3,161,79,6,97.56,67.08
468757at33208,343,222,1,1,137,85,121,64.72,61.71
130256at33208,442,135,1,1,72,63,307,30.54,53.33
592087at33208,206,147,1,2,81,66,59,71.36,55.1
555390at33208,166,151,1,1,115,36,15,90.96,76.16
485003at33208,265,38,1,1,20,18,227,14.34,52.63
563359at33208,200,26,1,1,17,9,174,13.0,65.38
508379at33208,167,152,1,1,99,53,15,91.02,65.13
189414at33208,511,270,1,1,104,166,241,52.84,38.52
195986at33208,782,711,1,2,371,340,71,90.92,52.18
300303at33208,516,309,1,1,135,174,207,59.88,43.69
455512at33208,317,268,1,1,130,138,49,84.54,48.51
245567at33208,495,203,1,1,121,82,292,41.01,59.61
603239at33208,179,49,1,1,30,19,130,27.37,61.22
274044at33208,467,259,1,2,127,132,208,55.46,49.03
334764at33208,437,411,1,3,215,196,26,94.05,52.31
534312at33208,170,127,1,1,100,27,43,74.71,78.74
620546at33208,185,76,1,1,41,35,109,41.08,53.95
545641at33208,133,133,1,1,114,19,0,100.0,85.71
610427at33208,124,64,1,1,38,26,60,51.61,59.38
471787at33208,491,306,1,1,157,149,185,62.32,51.31
266808at33208,412,205,1,1,125,80,207,49.76,60.98
502128at33208,288,233,1,2,143,90,55,80.9,61.37
361203at33208,408,407,1,1,256,151,1,99.75,62.9
526673at33208,306,42,1,1,35,7,264,13.73,83.33
412370at33208,224,37,1,1,25,12,187,16.52,67.57
334342at33208,717,546,2,2,192,354,171,76.15,35.16
568022at33208,172,109,1,1,82,27,63,63.37,75.23
455941at33208,287,116,1,1,67,49,171,40.42,57.76
510522at33208,190,83,4,7,33,50,107,43.68,39.76
158845at33208,376,128,1,1,50,78,248,34.04,39.06
561054at33208,195,67,1,1,45,22,128,34.36,67.16
535524at33208,176,175,1,3,139,36,1,99.43,79.43
578354at33208,144,121,2,3,87,34,23,84.03,71.9
610541at33208,140,138,1,1,70,68,2,98.57,50.72
373040at33208,451,146,1,1,124,22,305,32.37,84.93
216563at33208,409,132,1,1,81,51,277,32.27,61.36
632234at33208,113,44,1,1,36,8,69,38.94,81.82
615585at33208,108,75,1,1,36,39,33,69.44,48.0
601967at33208,117,113,3,3,56,57,4,96.58,49.56
586719at33208,137,85,1,1,60,25,52,62.04,70.59
244863at33208,581,539,1,1,220,319,42,92.77,40.82
595404at33208,144,98,1,2,85,13,46,68.06,86.73
578726at33208,221,99,1,1,50,49,122,44.8,50.51
516481at33208,228,202,1,1,62,140,26,88.6,30.69
205220at33208,815,206,1,1,55,151,609,25.28,26.7
109109at33208,758,583,3,7,342,241,175,76.91,58.66
585313at33208,211,190,1,1,122,68,21,90.05,64.21
118209at33208,951,686,2,3,424,262,265,72.13,61.81
633619at33208,95,68,1,1,41,27,27,71.58,60.29
334820at33208,393,337,1,1,229,108,56,85.75,67.95
581547at33208,175,174,1,1,113,61,1,99.43,64.94
594937at33208,200,99,1,1,42,57,101,49.5,42.42
200997at33208,562,236,1,1,140,96,326,41.99,59.32
501546at33208,168,82,1,1,34,48,86,48.81,41.46
334331at33208,592,504,1,1,270,234,88,85.14,53.57
107574at33208,465,339,1,1,148,191,126,72.9,43.66
432522at33208,174,45,1,1,27,18,129,25.86,60.0
491252at33208,219,102,1,1,59,43,117,46.58,57.84
435921at33208,155,105,1,1,78,27,50,67.74,74.29
412542at33208,326,224,1,1,117,107,102,68.71,52.23
365323at33208,324,155,1,2,90,65,169,47.84,58.06
458988at33208,542,85,1,1,60,25,457,15.68,70.59
